,0
0,Maryland
1,West Virginia
2,North Dakota
3,Alabama
4,Minnesota
5,Louisiana
6,Utah
7,New Mexico
8,New Hampshire
9,Oregon
10,Delaware
11,Maine
12,Nebraska
13,Pennsylvania
14,Idaho
15,Colorado
16,Wyoming
17,Massachusetts
18,California
19,Kentucky
20,Washington
21,Mississippi
22,Florida
23,Indiana
24,Missouri
25,Hawaii
26,Montana
27,Oklahoma
28,New Jersey
29,Vermont
30,Wisconsin
31,Ohio
32,Alaska
33,Virginia
34,Rhode Island
35,Illinois
36,Texas
37,Michigan
38,Arizona
39,Connecticut
40,Georgia
41,Iowa
42,Tennessee
43,Arkansas
44,North Carolina
45,Nevada
46,Kansas
47,South Dakota
48,South Carolina
